Q,A
对于支出金额超过（    ）的大额业务招待费支出，应以银行转账或银行卡方式结算，不得以现金方式结算。,5000元
在起草签报和发文时，要根据实际工作需要合理确定会签部门数量，部门内会签时间不超过（    ）个工作日。,5
各级领导应了解、掌握相关亲属经商办企业、工作情况，不得有相关亲属创办、参股或实际控制的企业，但如果本人不知晓，可以免责。,错误
严格执行婚丧事宜报告备案制度。对于婚嫁事宜，应当在操办婚礼（    ）个工作日前，按照领导人员管理权限向相应组织人事部门书面报告。,10
会议原则上安排在公司自有场所或协议酒店，禁止以各种名义和方式变相旅游，兄弟公司来访的，可以适当赠送纪念品或土特产。,错误
应严格规范政府奖励资金的使用，未经主管部门批准，不得擅自分配政府给予的各种奖励资金。以上描述是否正确（    ）。,正确
，因实际工作需要，需租用宾馆、酒店房间作为办公用房的，最长租用时间不超过（    ）。,半年
坚持移风易俗、从俭从简，严格控制婚丧宴请规模和标准。婚丧宴席规模累计不超过15桌，且宾客总人数不超过150人，礼金不超过（    ）元/人。,200
因客观原因造成行程变化，可自行根据情况变更已批准的因私出国（境）的日期、行程等内容。以上描述是否正确（    ）。,错误
地市分公司副总经理及以上相当职务领导人员因私出国（境）归来后，应在（    ）个工作日内将证件交还组织人事部门保管。,10
国家法定节假日期间（元旦、春节、清明节、劳动节、端午节、中秋节、国庆节），除有特殊情况，一般不安排业务招待。以上描述是否正确（    ）。,正确
对于政府特殊安排等需要，需在同等条件下优先考虑的供应商或合作方，应在严格执行相关程序的基础上，做出专项登记备案，供决策参考。,正确
各单位要按照（    ）的原则，加强日常管理，并通过专项检查、抽查等方式，开展落实中央八项规定精神、进一步深化作风建设相关制度执行情况的监督检查。,谁主管，谁负责；谁立规，谁检查
根据《中共中国移动通信集团公司党组问责工作管理办法（试行）》， 问责分为党内问责和（    ）。,管理问责
根据《中共中国移动通信集团公司党组问责工作管理办法（试行）》，对党组织的党内问责方式不包括（    ）。,撤销
根据《中共中国移动通信集团公司党组问责工作管理办法（试行）》，对党的领导干部的党内问责方式不包括（    ）。,检查
根据《中共中国移动通信集团公司党组问责工作管理办法（试行）》，对个人的管理问责方式不包括（    ）。,纪律处分
进行管理问责时，各单位可结合实际与业绩考核、绩效进行适当关联。以上描述是否正确（    ）。,正确
根据《中共中国移动通信集团公司党组问责工作管理办法（试行）》，受到诫勉处理的党员，（    ）内不得提拔或者重用。,六个月
根据《中共中国移动通信集团公司党组问责工作管理办法（试行）》，受到调整职务处理的党员，（    ）内不得提拔。,一年
根据《中共中国移动通信集团公司党组问责工作管理办法（试行）》，受到降职处理的党员，（    ）内不得提拔。,两年
根据《中共中国移动通信集团公司党组问责工作管理办法（试行）》，个人受到检查处理的，（    ）不得评先评优。,当年
问责实施部门应于问责决定作出后（    ）个工作日内，以问责主体名义将《问责决定书》发至问责对象本人。,10
中国共产党第十九次全国代表大会，是在全面建成小康社会决胜阶段、中国特色社会主义进入(   )的关键时期召开的一次十分重要的大会。,新时代
不忘初心，(    )，高举中国特色社会主义伟大旗帜，决胜全面建成小康社会。,牢记使命
中国共产党人的初心和使命，就是为中国人民(    ) ，为中华民族(    )。这个初心和使命是激励中国共产党人不断前进的根本动力。,谋幸福，谋复兴
五年来，我们统筹推进“(    )”总体布局、协调推进“(    )”战略布局，“十二五”规划胜利完成，“十三五”规划顺利实施。,五位一体　四个全面
过去五年，我国生产总值从五十四万亿元增长到(   )万亿元，稳居世界第二，对世界经济增长贡献率超过百分之三十。,八十
脱贫攻坚战取得决定性进展，（   ）贫困人口稳定脱贫，贫困发生率从百分之十点二下降到百分之四以下。,六千多万
实施共建“一带一路”，举办国际合作高峰论坛、亚太经合组织领导人非正式会议、二十国集团领导人(   )峰会、金砖国家领导人(    )会晤。,杭州　厦门
坚持反腐败无禁区、全覆盖、零容忍，坚定不移“打虎”、“拍蝇”、“猎狐”，____的目标初步实现，反腐败斗争压倒性态势已经形成并巩固发展。,不敢腐　不能腐　不想腐
经过长期努力，中国特色社会主义进入了新时代，这是我国发展新的(    )。,历史方位
中国特色社会主义进入新时代，我国社会主要矛盾已经转化为人民日益增长的(    )需要和(    )的发展之间的矛盾。,美好生活　不平衡不充分
我国仍处于并将长期处于(   )的基本国情没有变，我国是世界最大发展中国家的国际地位没有变。,社会主义初级阶段
(    )是实现社会主义现代化、创造人民美好生活的必由之路。,中国特色社会主义道路
(    )是指导党和人民实现中华民族伟大复兴的正确理论。,中国特色社会主义理论体系
(    )是当代中国发展进步的根本制度保障。,中国特色社会主义制度
(    )中国特色社会主义文化是激励全党全国各族人民奋勇前进的强大精神力量。,中国特色社会主义文化
实现社会主义现代化和中华民族伟大复兴，在全面建成小康社会的基础上，分(   )在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国。,两步走
新时代中国特色社会主义思想，明确中国特色社会主义最本质的特征是(   )。,中国共产党领导
发展是解决我国一切问题的基础和关键，发展必须是科学发展，必须坚定不移贯彻(   )的发展理念。,创新、协调、绿色、开放、共享
（   ）是中国特色社会主义的本质要求和重要保障。,全面依法治国
（   ）是一个国家、一个民族发展中更基本、更深沉、更持久的力量。,文化自信
必须统筹国内国际两个大局，始终不渝走和平发展道路、奉行(   )的开放战略。,互利共赢
从现在到二〇二〇年，是全面建成小康社会(   )。,决胜期
从(   )到(   )，是“两个一百年”奋斗目标的历史交汇期。,十九大　二十大
从2020年到本世纪中叶可以分两个阶段来安排。第一个阶段，从(   )到(   )，在全面建成小康社会的基础上，再奋斗十五年，基本实现社会主义现代化。,二〇二〇年　二〇三五年
从全面建成小康社会到基本实现现代化，再到全面建成(   )，是新时代中国特色社会主义发展的战略安排。,社会主义现代化强国
实现“两个一百年”奋斗目标、实现中华民族伟大复兴的中国梦，不断提高人民生活水平，必须坚定不移把(   )作为党执政兴国的第一要务。,发展
我国经济已由(   )阶段转向(   )阶段，正处在转变发展方式、优化经济结构、转换增长动力的攻关期。,高速增长　高质量发展
贯彻新发展理念，建设现代化经济体系，必须坚持质量第一、效益优先，以(   )为主线。,供给侧结构性改革
建设现代化经济体系，必须把发展经济的着力点放在(  )上，把提高供给体系质量作为主攻方向，显著增强我国经济质量优势。,实体经济
(   )是引领发展的第一动力，是建设现代化经济体系的战略支撑。,创新
保持土地承包关系稳定并长久不变，第二轮土地承包到期后再延长(   )年。,三十
确保到（   ）我国现行标准下农村贫困人口实现脱贫，贫困县全部摘帽，解决区域性整体贫困，做到脱真贫、真脱贫。,二〇二〇年
经济体制改革必须以（    ）和（    ）为重点，实现产权有效激励、要素自由流动、价格反应灵活、竞争公平有序、企业优胜劣汰。,完善产权制度　要素市场化配置
推动形成全面开放新格局。要以（   ）作，形成陆海内外联动、东西双向互济的开放格局。,“一带一路”
赋予自由贸易试验区更大改革自主权，探索建设（   ）。,自由贸易港
坚持党的领导、人民当家作主、依法治国有机统一。（   ）是社会主义民主政治的本质特征。,人民当家作主
加强人民当家作主制度保障。（   ）是坚持党的领导、人民当家作主、依法治国有机统一的根本政治制度安排。,人民代表大会制度
发挥社会主义协商民主重要作用。（   ）是具有中国特色的制度安排，是社会主义协商民主的重要渠道和专门协商机构。,人民政协
深化依法治国实践。成立中央全面（   ）领导小组，加强对法治中国建设的统一领导。,依法治国
深化机构和行政体制改革。转变政府职能，深化简政放权，创新监管方式，增强政府公信力和执行力，建设人民满意的（   ）政府。,服务型
全党必须牢记，（   ）的问题，是检验一个政党、一个政权性质的试金石。,为什么人
建设（   ）是中华民族伟大复兴的基础工程。,教育强国
国家安全是安邦定国的重要基石，（   ）是全国各族人民根本利益所在。,维护国家安全
我们要建设的现代化是人与自然(   )的现代化。,和谐共生
加快建立绿色生产和消费的法律制度和政策导向，建立健全(   )的经济体系。,绿色低碳循环发展
加强对生态文明建设的总体设计和组织领导，设立(   )机构。,国有自然资源资产管理和自然生态监管
我们要牢固树立社会主义生态文明观，推动形成(   )现代化建设新格局，为保护生态环境作出我们这代人的努力！,人与自然和谐发展
适应世界新军事革命发展趋势和国家安全需求，提高建设质量和效益，确保到二〇二〇年基本实现(   )，(   )建设取得重大进展，(  )有大的提升。,机械化　信息化　战略能力
力争到二〇三五年(  )国防和军队现代化，到本世纪中叶把人民军队(  )世界一流军队。,基本实现　全面建成
树立(  )是核心战斗力的思想，推进重大技术创新、自主创新，加强军事人才培养体系建设，建设创新型人民军队。,科技
军队是要准备打仗的，一切工作都必须坚持(  )标准，向能打仗、打胜仗聚焦。,战斗力
解决台湾问题、实现祖国完全统一，是全体中华儿女(  )，是中华民族(  )所在。,共同愿望　根本利益
(  )是两岸关系的政治基础。,一个中国原则
我们呼吁，各国人民同心协力，构建人类命运共同体，建设(  )的世界。,持久和平、普遍安全、共同繁荣、开放包容、清洁美丽
深刻认识党面临的(  )的尖锐性和严峻性，坚持问题导向，保持战略定力，推动全面从严治党向纵深发展。,精神懈怠危险、能力不足危险、脱离群众危险、消极腐败危险
党的(  )是党的根本性建设，决定党的建设方向和效果。,政治建设
要尊崇党章，严格执行新形势下党内政治生活若干准则，增强党内政治生活的(  )。,政治性、时代性、原则性、战斗性
坚决防止和反对(  )，坚决防止和反对宗派主义、圈子文化、码头文化，坚决反对搞两面派、做两面人。,个人主义、分散主义、自由主义、本位主义、好人主义
(  )和(  )，是中国共产党人的精神支柱和政治灵魂，也是保持党的团结统一的思想基础。,共产主义远大理想　中国特色社会主义共同理想
要坚持党管干部原则，(  )，把好干部标准落到实处。,坚持德才兼备、以德为先，坚持五湖四海、任人唯贤，坚持事业为上、公道正派
要坚持无禁区、全覆盖、零容忍，坚持（  ），坚持受贿行贿一起查，坚决防止党内形成利益集团。,重遏制、强高压、长震慑
增强党自我净化能力，根本靠强化（  ）和（  ）。,党的自我监督　群众监督
推进（  ），建设覆盖纪检监察系统的检举举报平台。,反腐败国家立法
《中国共产党章程》经中国共产党第十九次全国代表大会部分修改后于（）通过。,2017年10月24日
党章分为总纲和条文两部分。条文部分共（）章()条。,"11,55"
中国共产党是中国工人阶级的先锋队，同时是（）的先锋队，是中国特色社会主义事业的领导核心，代表中国先进生产力的发展要求，代表中国先进文化的前进方向，代表中国最广大人民的根本利益。,中国人民和中华民族
党的最高理想和最终目标是实现（）。,共产主义
中国共产党以马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观、（）作为自己的行动指南。,习近平新时代中国特色社会主义思想
把习近平新时代中国特色社会主义思想写入我们党的行动指南，这是党的十九大的一个重大历史贡献。习近平新时代中国特色社会主义思想回答了（）这个重大时代课题。,新时代坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义
"习近平新时代中国特色社会主义思想是对马克思列宁主义、毛泽东思想、邓小平理论、""三个代表""重要思想、科学发展观的继承和发展，是马克思主义中国化（），是党和人民实践经验和集体智慧的结晶，是中国特色社会主义理论体系的重要组成部分，是全党全国人民为实现中华民族伟大复兴而奋斗的（），必须长期坚持并不断发展。",最新成果，行动指南
在习近平新时代中国特色社会主义思想指导下，中国共产党领导全国各族人民，统揽（）、伟大工程、伟大事业、伟大梦想，推动中国特色社会主义进入了（）。,伟大斗争，新时代
习近平新时代中国特色社会主义思想，明确坚持和发展中国特色社会主义，总任务是（），在全面建成小康社会的基础上，分（）在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国。,实现社会主义现代化和中华民族伟大复兴，两步走
新时代坚持和发展中国特色社会主义的基本方略包括()条。,14
马克思列宁主义揭示了（），它的基本原理是正确的，具有强大的生命力。,人类社会历史发展的规律
中国共产党人追求的共产主义最高理想，只有在()充分发展和高度发达的基础上才能实现。,社会主义社会
社会主义制度的发展和完善是一个（）的历史过程。,长期
坚持马克思列宁主义的基本原理，走中国人民自愿选择的（）的道路，中国的社会主义事业必将取得最终的胜利。,适合中国国情
毛泽东思想是马克思列宁主义在中国的运用和发展，是被实践证明了的关于中国（）的正确的理论原则和经验总结，是中国共产党集体智慧的结晶。,革命和建设
在毛泽东思想指引下，中国共产党领导全国各族人民，经过长期的反对帝国主义、封建主义、（）的革命斗争，取得了新民主主义革命的胜利，建立了人民民主专政的中华人民共和国。,官僚资本主义
新中国成立以后，顺利地进行了社会主义改造，完成了（）的过渡，确立了社会主义基本制度，发展了社会主义的经济、政治和文化。,从新民主主义到社会主义
邓小平理论阐明了（）的基本问题。,在中国建设社会主义、巩固和发展社会主义
邓小平理论是马克思列宁主义的基本原理同当代中国()特征相结合的产物，是毛泽东思想在新的历史条件下的继承和发展，是马克思主义在中国发展的新阶段，是当代中国的马克思主义，是中国共产党集体智慧的结晶，引导着我国社会主义现代化事业不断前进。,实践和时代
()以来，以江泽民同志为主要代表的中国共产党人，在建设中国特色社会主义的实践中，加深了对什么是社会主义、怎样建设社会主义和建设什么样的党、怎样建设党的认识，积累了治党治国新的宝贵经验，形成了（）。,"十三届四中全会，""三个代表""重要思想"
"十六大以来，以胡锦涛同志为主要代表的中国共产党人，坚持以邓小平理论和""三个代表""重要思想为指导，根据新的发展要求，深刻认识和回答了（）等重大问题，形成了以人为本、全面协调可持续发展的科学发展观。",新形势下实现什么样的发展、怎样发展
改革开放以来我们取得一切成绩和进步的根本原因，归结起来就是：开辟了中国特色社会主义道路，形成了中国特色社会主义理论体系，确立了中国特色社会主义制度，发展了（）。,中国特色社会主义文化
我们党的三大历史任务是推进现代化建设、（）、维护世界和平与促进共同发展。,完成祖国统一
我国正处于并将长期处于（）。,社会主义初级阶段
我国的社会主义建设，必须从我国的国情出发，走()道路。,中国特色社会主义
我国正处于并将长期处于社会主义初级阶段。这是在原本经济文化落后的中国建设社会主义现代化不可逾越的历史阶段，需要（）的时间。,上百年
在现阶段，我国社会的主要矛盾是（）和（）之间的矛盾。,人民日益增长的美好生活需要，不平衡不充分的发展
进一步解放生产力，发展生产力，逐步实现社会主义现代化，并且为此而改革生产关系和上层建筑中不适应生产力发展的方面和环节，这是我国（）。,社会主义建设的根本任务
在社会主义初级阶段，必须坚持和完善公有制为主体、多种所有制经济（）的基本经济制度。,共同发展
()是我们党执政兴国的第一要务。,发展
十九大党章增写了必须坚持以（）为中心的发展思想。,人民
坚持创新、协调、绿色、开放、（）的发展理念。各项工作都要把有利于发展社会主义社会的生产力，有利于增强社会主义国家的综合国力，有利于提高人民的生活水平，作为总的出发点和检验标准。,共享
尊重劳动、尊重知识、尊重人才、（），做到发展为了人民、发展依靠人民、发展成果由人民共享。,尊重创造
跨入新世纪，我国进人（）的新的发展阶段。,全面建设小康社会、加快推进社会主义现代化
中国特色社会主义事业“五位一体”总体布局是经济建设、政治建设、文化建设、社会建设、（)。,生态文明建设
中国特色社会主义事业“四个全面”战略布局是全面建成小康社会、（）、全面依法治国、全面从严治党。,全面深化改革
在新世纪新时代，经济和社会发展的战略目标是，到建党一百年时，（）；到新中国成立一百年时，全面建成社会主义现代化强国。,全面建成小康社会
中国共产党在领导社会主义事业中，必须坚持以()为中心，其他各项工作都服从和服务于这个中心。,经济建设
党章要求，充分发挥（）作为引领发展第一动力的作用。,创新
坚持社会主义道路、坚持人民民主专政、坚持（）、坚持马克思列宁主义毛泽东思想这四项基本原则，是我们的立国之本。,中国共产党的领导
坚持（），是我们的强国之路。,改革开放
要从根本上改革束缚生产力发展的经济体制，坚持和完善社会主义（）体制。,市场经济
发挥市场在资源配置中的（）作用，更好发挥政府作用，建立完善的宏观调控体系。,决定性
促进（）、信息化、城镇化、农业现代化同步发展，建设社会主义新农村，走中国特色新型工业化道路，建设创新型国家和（）。,新型工业化，世界科技强国
"中国共产党领导人民发展社会主义民主政治,坚持()、人民当家作主、依法治国有机统一，走中国特色社会主义政治发展道路。",党的领导
走中国特色社会主义政治发展道路，扩大社会主义民主，（），建设社会主义法治国家。,建设中国特色社会主义法治体系
发展更加广泛、更加充分、更加健全的人民民主，推进协商民主广泛、多层、（）发展的内容。,制度化
建设社会主义精神文明，实行依法治国和以德治国相结合，提高全民族的思想道德素质和科学文化素质，为改革开放和社会主义现代化建设提供强大的思想保证、精神动力和智力支持，建设（）。,社会主义文化强国
中国共产党领导人民发展社会主义先进文化，弘扬以爱国主义为核心的民族精神和以（）为核心的时代精神。,改革创新
中国共产党领导人民发展社会主义民主政治。广开言路，建立健全民主选举、民主决策、（）、民主监督的制度和程序。,民主管理
坚持和完善人民代表大会制度、中国共产党领导的多党合作和政治协商制度、民族区域自治制度以及（）。,基层群众自治制度
十九大党章增写了培育和践行社会主义核心价值观的内容。在社会主义核心价值观中，（）是个人层面的价值。,爱国、敬业、诚信、友善
牢牢掌握意识形态工作领导权，不断巩固（）在意识形态领域的指导地位，巩固全党全国人民团结奋斗的（）。,马克思主义，共同思想基础
大力发展教育、科学、文化事业，推动（）创造性转化、创新性发展，继承（），发展社会主义先进文化，提高国家文化软实力。,中华优秀传统文化，革命文化
解决好人民最关心、最直接、最现实的利益问题，使发展成果更多更公平惠及全体人民，不断增强人民群众（）。,获得感
中国共产党领导人民构建社会主义和谐社会，加强和创新社会（）。,治理
坚持（），坚决维护国家主权、安全、发展利益。,总体国家安全观
中国共产党领导人民建设社会主义生态文明，增强()的意识。,绿水青山就是金山银山
建设社会主义生态文明，要树立尊重自然、（）、保护自然的生态文明理念。,顺应自然
坚持节约优先、（）的方针，坚持生产发展、生活富裕、生态良好的文明发展道路。,保护优先、自然恢复为主
着力建设资源节约型、环境友好型社会，实行（）生态环境保护制度。,最严格的
中国共产党坚持对人民解放军和其他人民武装力量的（）。,绝对领导
()是马克思主义军事理论中国化的最新成果，这一成果被写入了党章。,习近平强军思想
贯彻习近平强军思想，加强人民解放军的建设，坚持政治建军、改革强军、科技兴军、（）。,依法治军
建设一支听党指挥、（）、作风优良的人民军队。,能打胜仗
切实保证人民解放军有效履行（），充分发挥人民解放军在巩固国防、保卫祖国和参加社会主义现代化建设中的作用。,新时代军队使命任务
中国共产党维护和发展（）团结互助和谐的社会主义民族关系。,平等
铸牢（）意识，实现各民族共同团结奋斗、共同繁荣发展。,中华民族共同体
我国最广泛的爱国统一战线是由全体社会主义劳动者、社会主义事业的建设者、拥护社会主义的爱国者、拥护祖国统一和（）组成的。,致力于中华民族伟大复兴的爱国者
按照（）的方针，促进香港、澳门长期繁荣稳定，完成祖国统一大业。,“一个国家、两种制度”
中国共产党坚持（）的和平外交政策，坚持（）道路，坚持（）的开放战略，统筹国内国际两个大局，积极发展对外关系，努力为我国的改革开放和现代化建设争取有利的国际环境。,独立自主，和平发展，互利共赢
在国际事务中，维护世界和平，促进人类进步，推动构建（），推动建设持久和平、共同繁荣的和谐世界。,人类命运共同体
中国共产党主张在（）、互不侵犯、互不干涉内政、平等互利、和平共处五项原则的基础上，发展我国同世界各国的关系。,互相尊重主权和领土完整
"遵循（）原则，推进""一带一路""建设。",共商共建共享
中国共产党按照（）的原则，发展我党同各国共产党和其他政党的关系。,独立自主、完全平等、互相尊重、互不干涉内部事务
"中国共产党要领导全国各族人民实现""两个一百年""奋斗目标、实现中华民族伟大复兴的中国梦，必须紧密围绕党的基本路线，坚持（）。",党要管党、全面从严治党
党的十九大报告指出，坚持全面从严治党，必须以党章为根本遵循，把（）摆在首位，思想建党和制度治党同向发力，统筹推进党的各项建设。,党的政治建设
十九大党章在总纲中增写了不断增强党的自我净化、()、自我革新、自我提高能力的内容。,自我完善
新时代党的建设总体要求强调，以党的（）为统领，全面推进党的政治建设、思想建设、组织建设、作风建设、纪律建设，把（）贯穿其中，深入推进反腐败斗争，全面提高党的建设科学化水平。,政治建设，制度建设
十九大党章将党的建设必须坚决实现的基本要求由四项改为五项，增写的一项是（）。,坚持从严管党治党
加强各级领导班子建设，培养选拔党和人民需要的好干部，培养和造就千百万社会主义事业接班人，从组织上保证党的基本理论、基本路线、（）的贯彻落实。,基本方略
一切从实际出发，理论联系实际，实事求是，在实践中检验真理和发展真理。这是党章对（）的表述。,党的思想路线
我们党的最大政治优势是（）。,密切联系群众
中国共产党执政后的最大危险是（）。,脱离群众
党风问题、（）是关系党生死存亡的问题。,党同人民群众联系问题
一切为了群众，一切依靠群众，从群众中来，到群众中去，把党的正确主张变为群众的自觉行动。这是党章对（）的表述。,党的群众路线
民主集中制是（）。,民主基础上的集中和集中指导下的民主相结合
民主集中制既是党的（），也是群众路线在党的生活中的运用。,根本组织原则
必须实行正确的集中，牢固树立政治意识、大局意识、核心意识、看齐意识，坚定维护（），保证全党的团结统一和行动一致，保证党的决定得到迅速有效的贯彻执行。,以习近平同志为核心的党中央权威和集中统一领导
加强和规范党内政治生活，增强党内政治生活的政治性、时代性、原则性、（），发展积极健康的党内政治文化，营造风清气正的良好政治生态。,战斗性
党在自己的政治生活中正确地开展（），在原则问题上进行思想斗争，坚持真理，修正错误。,批评和自我批评
努力造成又有集中又有民主，又有纪律又有自由，()生动活泼的政治局面。,又有统一意志又有个人心情舒畅
在党的纪律面前（）。,人人平等
坚持依规治党、标本兼治，坚持把（）挺在前面。,纪律
深入推进党风廉政建设和反腐败斗争，以零容忍态度惩治腐败，构建（）的有效机制。,不敢腐、不能腐、不想腐
()是中国特色社会主义最本质的特征，是中国特色社会主义制度的最大优势。,中国共产党的领导
党必须按照（）的原则，在同级各种组织中发挥领导核心作用。,总揽全局、协调各方
党必须在（）的范围内活动。,宪法和法律
党必须保证国家的立法、司法、行政、（）机关，经济、文化组织和人民团体积极主动地、独立负责地、协调一致地工作。,监察
党必须加强对工会、共产主义青年团、妇女联合会等群团组织的领导，使它们保持和增强政治性、先进性、()，充分发挥作用。,群众性
可以申请加入中国共产党的年龄为年满（）。,18岁
中国共产党党员是中国工人阶级的（）的先锋战士。,有共产主义觉悟
中国共产党党员必须全心全意为人民服务，不惜牺牲个人的一切，为实现（）奋斗终身。,共产主义
中国共产党党员永远是劳动人民的普通一员。除了()的个人利益和工作职权以外，所有共产党员都不得谋求任何私利和特权。,法律和政策规定范围内
党章规定，党员必须履行的义务有（）。,8项
党章规定，党员享有（）权利。,8项
党员要带动群众为经济发展和社会进步艰苦奋斗，在生产、工作、学习和社会生活中起（）。,先锋模范作用
党员必须坚持党和人民的利益高于一切，个人利益服从（）利益，吃苦在前，享受在后，克己奉公，多做贡献。,党和人民的
党员自觉遵守党的纪律，首先是（），模范遵守国家的法律法规，严格保守党和国家的秘密，执行党的决定，服从组织分配，积极完成党的任务。,党的政治纪律和政治规矩
党员义务包括切实开展批评和自我批评，勇于揭露和纠正（）和工作中的缺点、错误，坚决同消极腐败现象作斗争。,违反党的原则的言行
党员要发扬社会主义新风尚，带头实践（）和社会主义荣辱观，提倡共产主义道德，弘扬中华民族传统美德。,社会主义核心价值观
党员有权对党的工作提出建议和（）。,倡议
党员有权在党的会议上（）地批评党的任何组织和任何党员，向党负责地揭发、检举党的任何组织和任何党员违法乱纪的事实。,有根据
党员有权要求（）或撤换不称职的干部。,罢免
在党组织讨论决定对党员的党纪处分或作出鉴定时，下列说法中，正确的应该是（）。,本人有权参加和进行申辩，其他党员可以为他作证和辩护
当党员对党的决议和政策有不同意见时，下列说法中，正确的应该是（）。,在坚决执行的前提下，可以声明保留，并且可以把自己的意见向党的上级组织直至中央提出
党员有权利向党的上级组织直至中央提出请求、()，并要求有关组织给以负责的答复。,申诉和控告
发展党员，必须把（）放在首位，经过（），坚持（）的原则。,政治标准，党的支部，个别吸收
申请入党的人要有两名党员作介绍人。这里的党员是指（）。,正式党员
入党介绍人要认真了解申请人的思想、品质、经历和工作表现，向他解释（），说明党员的条件、义务和权利，并向党组织作出负责的报告。,党的纲领和党的章程
党的支部委员会对申请入党的人，要注意征求（）的意见。,党内外有关群众
党的支部委员会对申请入党的人，要进行严格的审查，认为合格后再提交（）讨论。,支部大会
